Name,City,Date,Review,Ratings
jay singh,"Certified Buyer, Lucknow","Oct, 2023","Just upgraded from iphone 12 to 15 and I totally loved this 15 series.Camera:- No doubt iphones camera are best of any other smartphone, primary camera is now 48mp which gives quite sharp images, 2x in portrait mode is definitely a game changer in base varient.Battery:- 3349 mAH is quite better as compared to older versions.Performance:- Apple improve performance by introducing A-16 bionic chip, no doubt performance is on top.Display:- In display we get dynamic island which gives phone mo...READ MORE",5
Preenit  Rai,"Certified Buyer, Bhopal",10 months ago,Camera is good but not too good like other camera phone.Performance is good but missed 90hz display.Battery is good enough for a day use.Sound is quite awesome like no other phonesRest phone is good to go for.READ MORE,5
Mukesh Kumar,"Certified Buyer, Patna","Oct, 2023",Pic Quality AwesomeREAD MORE,5
Surabhi Das,"Certified Buyer, Raipur",10 months ago,Awesome...READ MORE,5
ANUP SINGH GAUTAM,"Certified Buyer, Ghaziabad","Oct, 2023",Absolutely gorgeous 😻READ MORE,5
CHETAN  TILWALIA ,"Certified Buyer, Loni",8 months ago,Nice 👌READ MORE,5
Urgain Norzin,"Certified Buyer, New Delhi","Oct, 2023",It's amazing nd also the delivery boy was very humble.READ MORE,5
Nilesh  Yadav,"Certified Buyer, Aurangabad","Sep, 2023",Best in class..! Superb camera and performance. Fine grip.READ MORE,5
Abhishek Kumar,"Certified Buyer, Siwan District",6 months ago,awesome camera looks like Captured DSLR quality Sounds quality bestBattery backup is good not better and bestAbout performance i have no wordsREAD MORE,5
Anish Sanjay,"Certified Buyer, Salem",7 months ago,Really its the best and richest design 😍READ MORE,5
Nirmala Sahu,"Certified Buyer, Naugachhia",10 months ago,"Just ok like any other premium android phone. Sound is just fantastic and face unlock feature is more convenient than fingerprint scanner. Battery backup is more than android 5000 mah battery. This is my frist iPhone, migrated from android due to chipset heating problem in Google tensor chip and Samsung exonys processsor.READ MORE",5
Purnendu Mondal,"Certified Buyer, English Bazar",10 months ago,Switch from android to iPhone😍Just wow. Camera and battery backup is outstanding for daily useREAD MORE,5
Feroz Basha,"Certified Buyer, Kurnool",10 months ago,Loved this product ❤️❤️READ MORE,5
Arpan Dewanjee,"Certified Buyer, Bally",9 months ago,Writing this review after extensive usage. Hope it helps interested buyers decide.1. Display:- 4/5 (Great display but limited to 60Hz in 2023-24)2. Camera:- 4/5 (Great cameras but no telephoto at this price segment but this time Apple really nailed it with the 15 series 24mp shots are very sharp and detailed)3. Performance:- 5/5 (One of the fastest SOC available right now)4. Battery:- 3/5 (Average battery life also charger not included in the box and still charges slowly with the 20w bric...READ MORE,4
Flipkart Customer,"Certified Buyer, North Twenty Four Parganas District",10 months ago,"This mobile is phenomenal, I like the camera mostREAD MORE",5
Ajay Vishwakarma,"Certified Buyer, New Delhi",11 months ago,Love the performance 👍READ MORE,5
Ajmir Hossain,"Certified Buyer, Milki",7 months ago,I have been using this phone since two months.And this phone is amazing.  Camera- 10/10Display- 10/10Performance- 10/10Battery- 9.5/10READ MORE,5
Suraj Mehra,"Certified Buyer, Garhwa","Nov, 2023",NiceREAD MORE,5
SYAM SUNDER,"Certified Buyer, Sangaria",10 months ago,Camera is so goodREAD MORE,5
PROSIT DAS,"Certified Buyer, Hugli District",7 months ago,As Expected 🤣😂🫣READ MORE,5
ABIR  MODAK,"Certified Buyer, Halisahar",9 months ago,The camera quality is just awesome ..just like DSLRREAD MORE,5
VENKATESH REDDY,"Certified Buyer, Bengaluru",10 months ago,Super Good ProductREAD MORE,5
Himanjan Bora,"Certified Buyer, North Lakhimpur",3 months ago,"Coming from an iPhone 11, the upgrade is not completely unnecessary. I can see few daily improvements which impacts me personally. The battery back up is a good upgrade. The cameras are obviously better. The Dynamic Island is alright but not something I cannot live without. Face ID works smoother. I am not into games, so no comments on that. For a regular person, this phone is more than enough. And for people with other Apple devices, this is just an awesome part of the ecosystem.READ MORE",4
Ayan Das,"Certified Buyer, Kolkata",10 months ago,Light weight phone. Camera and sound is fine and performance is highly appreciable.READ MORE,5
Flipkart Customer,"Certified Buyer, Visakhapatnam",2 months ago,Mobile battery consumption very fastSo that I charge 3 times to charge in a dayREAD MORE,4
Mohammad  Mubarak,"Certified Buyer, Aligarh",11 months ago,Everything lovely Just for the first time u wont feel much difference b/w pro and non pro model iphones.READ MORE,4
Thilak Kumar,"Certified Buyer, Chittoor District","Sep, 2023",I upgraded from iPhone 13 to 15 and this phone is awesome worth the money go for itREAD MORE,4
Ashish  Raj,"Certified Buyer, Motihari","Sep, 2023",Awesome phone ❤️READ MORE,5
Sayan Ray,"Certified Buyer, Kolkata",10 months ago,Nice device!READ MORE,5
