Name,City,Date,Review,Ratings
Vicky Krishna,"Certified Buyer, Musiri",7 months ago,Am a Android User First Time Switching To IOS Really Its Awesome (iphone 15) Camera 5/5Battery 4/5Design 5/5Display 5/5Speaker 5/5READ MORE,5
Arun kumar  Vikram,"Certified Buyer, Prayagraj",8 months ago,Android is better than iosREAD MORE,5
Himalaya  Panwar,"Certified Buyer, Haridwar",9 months ago,Excellent purchase battery life is good for medium usage but can get you through the whole day on single charge. Am just loving this phoneREAD MORE,5
Hardik Chaudhary,"Certified Buyer, Ahmedabad",10 months ago,It was on republic sale. I got value for money.Piece is genuine.Camera is best with 48 MP primary lens.Performance is very good.There are some restrictions otherwise it is very good.READ MORE,5
Abhishek Prasad,"Certified Buyer, Pune District",10 months ago,The product is very nice just switched from iPhone XR. Was thinking to buy Samsung S24 but happy with this purchase.The camera is awesomeA single charge will last for a dayREAD MORE,5
Krishna kishor Singh,"Certified Buyer, Patna",10 months ago,best camera phone 🥰READ MORE,5
Flipkart Customer,"Certified Buyer, Faizabad District",10 months ago,NiceREAD MORE,5
Sabir Khan,"Certified Buyer, Saharanpur District",10 months ago,Very nice phone im happy very good 👍READ MORE,5
Abhisekh Kumar,"Certified Buyer, Bikaner",10 months ago,I can say the 60hz doesn't feel 60hz it is very smooth and may be because of appleI was too worried about the 60 hz because I was switching from 120hz Android (realme GT master edition) to this one but after using iphone 15 I feel lags in my android 120hzBut I feel camera quality is avg but videography is next level Love the speakerQuality of display is just wowCharging is also quite good and battery backup is also awesomeI am getting 5-6 hr gameplay(free fire+bgmi) from 100% to 25% qui...READ MORE,5
Aniket Rajput,"Certified Buyer, New Delhi",11 months ago,Very Best baseline iPhone ever. even if you have a iphone 14 it is still a upgrade. the new frosted glass and rounded edges make it premium feel. camera is just awesome. better than 14 pro camera. battery is just like iphone 14. type c is also a welcome with braided data cabel. just blue colour looks a lot like white.READ MORE,5
Rishi Ratan Sarkar,"Certified Buyer, Bengaluru",11 months ago,Very powerful phone. Camera is extremely good if one can adjust the settings. Battery backup is awesome. Design is handy. Features are cool. Price is reasonable.READ MORE,5
Monish B,"Certified Buyer, Salem",10 months ago,"Battery is worst!I am moving from android, so i feel my 20k android phone is better than this iphone. Although i brought this for apple ecosystem!READ MORE",4
Md Omair   Ahmed,"Certified Buyer, Homnabad","Oct, 2023",FantasticREAD MORE,5
Vishnu Singh,"Certified Buyer, Rampur",9 months ago,"Phone is good built lightweight,handy, camera good quality, display great phone is nice if love it's OS and can spend that muchREAD MORE",4
Soni  Nirav,"Certified Buyer, Surendranagar",10 months ago,Just Awesome ❤️- Was bit skeptical about 60Hz but it feels extremely smooth.- No heating issues at all. - Camera quality is also good.- Overall nice upgrade for me after using poco f1 for half a decade.I would definitely recommend it. Just go for it you wont regret.READ MORE,5
Amit Tekriwal,"Certified Buyer, Bengaluru",10 months ago,"The only thing I like about this phone is the camera quality and that is the reason I bought this phone.I already have an Android phone which is less than 50% of its price and still is better in every aspect except the camera.Well! Definitely, iphone 15 has a flagship level chipset but I am not a gamer and a normal user and I find mid rangers and flagship all perform at similar level in daily tasks.While iphone 15 only has 60hz screen which feels choppy, all other phones have 120-144hz scr...READ MORE",3
Saikat Das,"Certified Buyer, Durgapur","Oct, 2023","A great phone with quality display 60Hz, average to good battery backup, speaker same as 14, camera is very good in this segment, performance toooo good for this compact sized phone almost never heated much except for charging and bgmi though normal for every phone. Dynamic island animations are great though not a fan of it still better than notch. And design is amazing very premium.READ MORE",5
Asif Ikbal,"Certified Buyer, Nadia District",11 months ago,Not justifying the price .. bit disappointed about the  display (refresh rate should be high).. no differences between 12 and 15 except brightness .. those who willing to upgrade plz be ok with your 13 .. there is very low difference in day to day life use..but the Dynamic Island is awesome it is way better than expected..READ MORE,4
Vivek Rawat,"Certified Buyer, New Delhi","Sep, 2023",Smooth 🔥READ MORE,5
Maheshwar Thudi,"Certified Buyer, Hyderabad",10 months ago,Having a great timeREAD MORE,5
Saikrishna Kathi,"Certified Buyer, Mahabubabad",10 months ago,"High quality camera The iPhone 15 has a new 48-megapixel main camera. The new camera sensor is larger than the one in the iPhone 14, and it has better low-light performance. The iPhone 15 also has a new 12-megapixel ultrawide camera and a new 12-megapixel telephoto camera.READ MORE",5
Yogendra  Tiwari,"Certified Buyer, Itanagar",11 months ago,"AFTER ONE WEEK OVERALL PERFOMANCE IS GOOD BUT  FEW APPLE MUST IMPROVE 1. Design very Round on Corner gives a feel of baby Toy, 2. Some thing must improve in iOS 17 its very Classic in this mordern era like Auto Rotate not possible on photos you will have to go home select rotate lock etc.READ MORE",4
abhishek peesa,"Certified Buyer, Srikakulam","Oct, 2023",NiceREAD MORE,4
G MOHAMMED SALEEM,"Certified Buyer, Bengaluru",7 months ago,Good 👍 my 2nd i phoneREAD MORE,5
Rosti hokai,"Certified Buyer, Hojai","Oct, 2023",Loving it!!! Delivery was quick .READ MORE,5
Nitin  rautela,"Certified Buyer, Delhi Division",6 months ago,Device is getting too hot. It's looking like you have the burning stick.READ MORE,3
Ruhul Islam,"Certified Buyer, Anand Nagar",6 months ago,Awesome 🫠😌READ MORE,5
Sumitra Swain,"Certified Buyer, Chakan",6 months ago,Awasome Phone Awasome Camera🐼........Rest is History DuduREAD MORE,5
Miswa Malik,"Certified Buyer, Kakrala",7 months ago,Alhamdulillah One More Added By The Mercy Of Allah SWT 💗READ MORE,5
Flipkart Customer,"Certified Buyer, Patna",8 months ago,Good stuff.. bss thora battery cazual hai 💀READ MORE,5
Flipkart Customer,"Certified Buyer, Vijayawada",8 months ago,Good mobile but charging is getting down fastttREAD MORE,5
MOBARAK SK,"Certified Buyer, Dhusaripara",9 months ago,All are good 😊READ MORE,5
Saswata Dash,"Certified Buyer, Gwalior",9 months ago,Awesome battery backup. Best lowlight camera .READ MORE,5
Muna Matiary ,"Certified Buyer, Redhakhol",9 months ago,Looking Like Monster 🤍💙READ MORE,5
Divyanshu Roy,"Certified Buyer, Bodh Gaya",10 months ago,Awesome I switched from Android it's great feeling just go for it 🥰🥰🥰READ MORE,5
Nilesh Kumar,"Certified Buyer, Noida",10 months ago,Very good productREAD MORE,5
Karan Yaduvanshi ,"Certified Buyer, Gurugram",10 months ago,Superb phone ❤️ I am using last 5 year of iPhoneREAD MORE,5
Susant Bhoi,"Certified Buyer, Bengaluru",11 months ago,Good cameraREAD MORE,5
Mohd Siddique,"Certified Buyer, Rangareddy","Nov, 2023",The colour blue is so good and the battery life is so long as compared to 14 the camera is much better than 14series best phone I experienced very goodREAD MORE,5
ANUJ SINGH,"Certified Buyer, Muradnagar",10 months ago,Awesome performance and PicturesREAD MORE,5
bapan paul,"Certified Buyer, Silchar","Nov, 2023",GoodREAD MORE,5
Anubhav Chauhan,"Certified Buyer, Panchkula",5 months ago,"I have recently switched from Android to ios, it does feel very strange at the beginning but now I am getting habitual to the iosIt is really very nice and feels premium. The camera is also very nice. I am fully satisfied with this purchase.READ MORE",5
Avinash  Fiske,"Certified Buyer, Amravati",5 months ago,Verrrry good productREAD MORE,5
Vikas Chaudhari,"Certified Buyer, Indore",5 months ago,This is adorable   Most important  C type charger  cable I am happy with  iPhones 15 series  ⭐️⭐️⭐️⭐️⭐️READ MORE,5
seetha Ram,"Certified Buyer, Jamnagar",1 month ago,"Mobile is good, battery is drain fast 1 day 2 time charging,I am heavy user, but still goodREAD MORE",5
Md Nisar Ansari,"Certified Buyer, Bhadohi",6 months ago,"I am very happy to buy it because its camera is very good and its performance is also very good, its features are also very good and will never make you bored. 😍READ MORE",5
Divyanshu Singh,"Certified Buyer, Bilaspur",6 months ago,Worth every penny .. Confused between pixel and iPhone but no regrets to buy an iPhoneREAD MORE,5
vikash kumar,"Certified Buyer, Hajipur",6 months ago,Camera is best qualityREAD MORE,5
Suvrajit,"Certified Buyer, Bengaluru",6 months ago,Genuine product. Thank you flipkartREAD MORE,5
RAJASHEKHAR SHIROL,"Certified Buyer, Bagalkot District",6 months ago,OkREAD MORE,5
Ashwani Mishra,"Certified Buyer, Sarnath",6 months ago,The iPhone 15 features a 48-megapixel main camera sensorIt is powered by the A16 Bionic SoCThe iPhone 15 now comes with Dynamic IREAD MORE,5
Abhijeet Nath,"Certified Buyer, Bilaspur",6 months ago,Best IphoneREAD MORE,5
Chhatra  Pal,"Certified Buyer, Rudrapur",6 months ago,I lovedREAD MORE,5
Akshay  Chavhan,"Certified Buyer, Washim",6 months ago,Nice product but battery issues please solowREAD MORE,5
Sippi B,"Certified Buyer, Kalyan",6 months ago,Best dealREAD MORE,5
Asgar Khan,"Certified Buyer, Purba Champaran District",1 month ago,Front camera can't be goodREAD MORE,3
Anandhu AS,"Certified Buyer, Trivandrum",11 months ago,"Good display, improved display brightness, awesome cameraREAD MORE",5
Flipkart Customer,"Certified Buyer, Pune",6 months ago,Great product:)READ MORE,5
PALAIAH R,"Certified Buyer, Bengaluru",6 months ago,Nice ProductREAD MORE,5
Flipkart Customer,"Certified Buyer, Naraingarh",7 months ago,U all know about iPhone 15 so am very impressed with blue colour damn beautiful ❤️READ MORE,5
Bondapalli Ramakrishna,"Certified Buyer, Hyderabad",7 months ago,GoodREAD MORE,5
Gaurav Kumar,"Certified Buyer, Greater Noida",7 months ago,Awesome experience in my opinion. I am first time iPhone user. And can say:-Camera: 10/10Performance: 10/10Display: 10/10Battery: 8/10READ MORE,5
Bhaskar Jyoti  Saikia ,"Certified Buyer, North Lakhimpur",7 months ago,"Awesome phone, thanks to Flipkart for quick delivery. This is my 1st iOS experience so very excited .READ MORE",5
Akash Paradkar,"Certified Buyer, Mumbai",2 months ago,Excellent phone Camera is bestGood Battery lifeREAD MORE,5
Jagdish Phad,"Certified Buyer, Pune",7 months ago,Great phone!Thank you flipkart.READ MORE,5
Raj Singh,"Certified Buyer, Kolkata","Dec, 2023",for me its 10 out of 10✨READ MORE,5
Kanishka Gupta,"Certified Buyer, Bhopal",7 months ago,Beautiful phoneREAD MORE,5
Rajesh Kumar,"Certified Buyer, New Delhi",7 months ago,"The camera of iPhone 15 is very good because I am using it, everything is working fine, many people are saying that the battery is not working but this is wrong, I am using it and it works fine❤️READ MORE",5
Sakib Ali,"Certified Buyer, Barasat",7 months ago,Very FabulousREAD MORE,5
Shankar Ji,"Certified Buyer, Sukma",7 months ago,Very good productREAD MORE,5
Shiva  Bilthariya ,"Certified Buyer, Bodh Gaya",7 months ago,Super experience😘😘READ MORE,5
Aaryan Yaduvanshi,"Certified Buyer, Hajipur",7 months ago,Awesome...READ MORE,5
NOOR ALAM,"Certified Buyer, Allahabad",7 months ago,The phone looks good in green colorREAD MORE,5
Nandan  Roy,"Certified Buyer, Dhubri",7 months ago,Amazing camera but battery  perform not goodREAD MORE,5
Navneet Ranjan,"Certified Buyer, Hyderabad",7 months ago,Upgraded from iPhone 12 to 15 every thing is nice but little bit heating issues is coming while charging the phone I requesting apple to kindly resolve this issue in next update.READ MORE,5
Dev Khanna,"Certified Buyer, Pune",7 months ago,"Body gets heated up. Apart from that, all good! Type C charger is a good relief! And amazing delivery by FlipKart too!READ MORE",5
Babul Ali,"Certified Buyer, Barpeta",7 months ago,NICEREAD MORE,5
ANKIT ANAND,"Certified Buyer, Supaul District",8 months ago,Nice product but battery 🔋 quality BadREAD MORE,5
Dhawan Kumar,"Certified Buyer, Amritsar District",8 months ago,Awesome Gaming and Photography ExperienceREAD MORE,5
Mintu Lohar,"Certified Buyer, Bankura",8 months ago,It's an awesome experience but if ur a vlogger u need and android must but other wise it's a great  iphone till date👍READ MORE,5
Deepak  Meena,"Certified Buyer, Jaipur",8 months ago,Nice prodREAD MORE,5
Sanjay Nain,"Certified Buyer, Dibrugarh District",8 months ago,Most useful deviceREAD MORE,5
Nitin Ghaiwat,"Certified Buyer, Durg",8 months ago,Nice productREAD MORE,5
Ravindra Sharma,"Certified Buyer, Gangapur City",8 months ago,Excellent phone battery bakeup is also goodREAD MORE,5
Jyotiprakash Mohanty,"Certified Buyer, Bhachau",8 months ago,Wonderful 👌🏻READ MORE,5
Harsha Koppal,"Certified Buyer, Hoovina Hadagalli",8 months ago,Very good handset once you purchase not change the Apple brand. 💯 original apple brand and authorised for Flipkart seller.READ MORE,5
Amish Kumar yadav ,"Certified Buyer, Muzaffarpur District",8 months ago,All good in this n camera superbREAD MORE,5
Pramod Varma,"Certified Buyer, Saunkh",8 months ago,Amazing product .camera quality is decent           Sound quality is amazing Display quality is superb.battery quality good overall very good.READ MORE,5
Razz Anjani,"Certified Buyer, Ballia District",8 months ago,Night mode is so smoothREAD MORE,5
Bhupesh Pant,"Certified Buyer, Lohaghat",8 months ago,Awesome Phone with awesome camera. Updated from iphone 13 to 15 I love this.READ MORE,5
Himanshu Pande,"Certified Buyer, Pithoragarh",8 months ago,"As always fast delivery by flipkart,Stunning design, powerful performance, and exceptional camera quality define the iPhone 15. With its sleek build, vibrant display, and lightning-fast chip, it's a flagship smartphone that delivers on all fronts. Capture breathtaking photos, enjoy seamless multitasking, and experience all-day battery life. The iPhone 15 is a premium choice for those who demand the best.Go for it without any thinking if you are trying for premium segment.READ MORE",5
Afzal Saifi,"Certified Buyer, Gurgaon",8 months ago,Camera quality SuperbREAD MORE,5
Sunil Deora ,"Certified Buyer, Jodhpur",8 months ago,Over all good after 20 days use I like itREAD MORE,5
Syed Ishan ALI,"Certified Buyer, Maldah District",8 months ago,Awesome Product Just Love ItREAD MORE,5
Amit Malik,"Certified Buyer, Panipat District",8 months ago,Bery bery goodREAD MORE,5
ADABALA VIJAY,"Certified Buyer, Razole",8 months ago,Nice phoneREAD MORE,5
Naveen Kumar,"Certified Buyer, Chhaprauli",8 months ago,Loved itREAD MORE,5
Amir  Hussain,"Certified Buyer, Darrang District",8 months ago,Amazing camera pic 😍READ MORE,5
pankaj sharma,"Certified Buyer, Noida",8 months ago,Amazing camera qualityREAD MORE,5
MAZHAR  SAYYAD ,"Certified Buyer, Sangli Miraj Kupwad",8 months ago,NiceREAD MORE,5
Papai Sarkar Papai Sarkar,"Certified Buyer, Siliguri",8 months ago,Awesome mobileREAD MORE,5
Deepak Kumar,"Certified Buyer, Mawana",8 months ago,BestREAD MORE,5
Rinkesh Sahu,"Certified Buyer, Bhadravati",9 months ago,Mobile I got from Flipkart is really original and genuineREAD MORE,5
Ashish Mishra,"Certified Buyer, Kolkata",9 months ago,I have used this 1st time and never had an iPhone before this one and it's amazing just loved it...READ MORE,5
PANKAJ KUMAR,"Certified Buyer, Jewar",9 months ago,Nice camera and battery also.READ MORE,5
Bhanu  Khichi ,"Certified Buyer, Pune",9 months ago,Camera Quality 👌💯👌READ MORE,5
SAITEJA PENDHOTA,"Certified Buyer, Karimnagar",9 months ago,"1. It is the best phone and worth every rupee in terms of its user interface, unique eco system, siri and some other options  which can be copied by other manufacturers but cant replicate (if incase a person thinks iphones are bit overpriced - they are pricing for their unique features)  2. In terms of camera, display, performance and in every other aspect it gives best output.3. In terms of this iPhone 15 series, the upgrade in this series is of leaps and bounds compared to other upgrades ...READ MORE",5
Chethan Billava,"Certified Buyer, Bengaluru",9 months ago,"This is my first mobile from apple. Powerfull performance, very good camera..next level display.. 5 out of 5READ MORE",5
Rahul Pathak,"Certified Buyer, Howrah",9 months ago,Best CameraREAD MORE,5
Flipkart Customer,"Certified Buyer, Krishna",9 months ago,Phone is super duper very nice hasome wonderfull miracleREAD MORE,5
Vimal Mehta,"Certified Buyer, New Delhi",9 months ago,Best phoneREAD MORE,5
Shasi Krishna,"Certified Buyer, Kurnool",9 months ago,Superb Performance ✨READ MORE,5
Monazzam Raza,"Certified Buyer, Saraiya",9 months ago,"The innovative new design features back glass that has color infused throughout the material. A custom dual ion-exchange process for the glass, and an aerospace-grade aluminum enclosure, help make iPhone 15 incredibly durable. Dependably durable.READ MORE",5
Aman Rana,"Certified Buyer, Hoshiarpur",9 months ago,Money worth itREAD MORE,5
Shinz PK,"Certified Buyer, Bengaluru",9 months ago,Good Performance.READ MORE,5
Mahibul Islam,"Certified Buyer, Barpeta",9 months ago,Super excitedREAD MORE,5
Munish  Kumar,"Certified Buyer, Faridabad",9 months ago,The Experience with new features is Amazing . Definately iphone 15 is better than 13 or 14 .READ MORE,5
Flipkart Customer,"Certified Buyer, Surendranagar",9 months ago,Good photo sutuREAD MORE,5
Hari HS,"Certified Buyer, Chennai",9 months ago,Long time android user. Thought of giving iOS a try. And now I understand why apple is apple. The highlight is the interaction between the hardware and the software. Android feels clunky in front of iOS. (Have used all Android skins and currently on s24+)READ MORE,5
Srihari  Chinna,"Certified Buyer, Hyderabad",9 months ago,Best all-rounder flagship level cameraREAD MORE,5
Sahil Khan,"Certified Buyer, Boisar",10 months ago,It can be more better if display refresh rate has 120hzREAD MORE,5
kunal aggarwal,"Certified Buyer, New Delhi",10 months ago,Honest review after using it for a month! Best phone of apple so far camera battery performance are on top notch!READ MORE,5
Mohan  Karthik ,"Certified Buyer, Erode",6 months ago,Phone super Battery poorREAD MORE,4
Sonam Dhiman,"Certified Buyer, Kangra District","Oct, 2023",Good camera and battery but ios is still far behind than Android in terms of ease.READ MORE,5
Bablu kumar sah,"Certified Buyer, Sheohar District",10 months ago,Awesome colourREAD MORE,5
yajush Tiwari,"Certified Buyer, Surat","Oct, 2023","All over i find it good except the heating issues, of course its type C but when you charge it with other cable it will heat like hell, and if you take it out in noon time and take photos ,it will heat else there were no performance or body shading issues ,the in hand feeling is awesomeREAD MORE",4
sandeep Debroy sandeep Debroy,"Certified Buyer, Kailashahar",10 months ago,"Nice product,,and delivery is awesomeREAD MORE",5
Ritu Raj,"Certified Buyer, Hisua",10 months ago,Best product...READ MORE,5
Anuj Chauhan,"Certified Buyer, Rae Bareli",10 months ago,GoodREAD MORE,5
Manish Singh,"Certified Buyer, Sitapur","Oct, 2023",Heating issueREAD MORE,5
Debabhash Dey,"Certified Buyer, North Twenty Four Parganas District",10 months ago,Best inclass .  Should have been little smaller.READ MORE,5
Ashish dubey,"Certified Buyer, Dhamdha",10 months ago,Very good camera quality and performanceREAD MORE,5
Abhishek Rastogi,"Certified Buyer, Rudrapur",10 months ago,very nice 15READ MORE,5
Kunj Patel,"Certified Buyer, Ahmedabad",10 months ago,Nice phone 📱READ MORE,5
LAVAKUMARA S,"Certified Buyer, Chitradurga District",10 months ago,The best mobile in IndiaREAD MORE,5
Srinu Customer,"Certified Buyer, Mandapeta",10 months ago,Premium look and quality with excellent performanceREAD MORE,5
Sunita Das,"Certified Buyer, Erashal",10 months ago,Battery life is unbelievableREAD MORE,5
Mangesh Sharma,"Certified Buyer, Chauparan",10 months ago,Nice phone😍READ MORE,5
Nitin Ramrav Kanase,"Certified Buyer, Karad",10 months ago,Nice productsREAD MORE,5
Munesh Devi,"Certified Buyer, Saharanpur",10 months ago,Gud phoneREAD MORE,5
sai  viswanath,"Certified Buyer, Proddatur",10 months ago,The camera is so beautiful and it takes good pics in portrait mode here are some sample picsREAD MORE,5
Sumit samal,"Certified Buyer, Malkangiri",10 months ago,"Just take it without asking anyone,READ MORE",5
Manish  Saini,"Certified Buyer, Gurugram",10 months ago,Camera quality is quite good.  The battery lasts a little less.  Well the phone is overall good.READ MORE,5
Parm Dhaliwal,"Certified Buyer, Patiala District",10 months ago,Camera is awesome display and sound quality is amazingREAD MORE,5
SADDAM KHAN  KHAN ,"Certified Buyer, Niwai",10 months ago,Nice phone speakers display and camera quality amazingREAD MORE,5
Amit Kumar Jha,"Certified Buyer, Ghaziabad",10 months ago,"I upgraded because of the band that is 5G and a better camera , look wise it is good and weight is comfortable to carry. Dynamic Island if catchy to eye. It keeps the Apple standard, gels well with Apple ecosystem like AirPods , iwatch, mac . Though a little pricey at this point but one may wait for or some sort of discount offers.READ MORE",5
aditya verma,"Certified Buyer, Khairagarh",10 months ago,Most value for money iPhone ever.READ MORE,5
bijaya mohanty,"Certified Buyer, Baleshwar",6 months ago,Just go for it.Amazing one.Beautiful camera with super fast processorREAD MORE,5
Devjyoti Das,"Certified Buyer, Dhubri",10 months ago,Amazing phone just no words to say...just one complaint that some features are easy on Android but in ios its takes more time to do it...READ MORE,5
manish choudhary,"Certified Buyer, Udaipur",11 months ago,"I was sceptical at first about moving form an android to ios. I was confused between s23 and ip15 but i bought this phone and i must say i am very happy about it. I have not faced any issues in this device since I have been using it, no heating while gaming, charges quickly, and believe me if you have been using 60hz panel before this you will not have any problems but coming from a 120hz panel you might need some time adjusting to it. All in all this has got to be the best phone under 70k ca...READ MORE",5
Rahul  Saini,"Certified Buyer, Gangapur City",11 months ago,Loved itREAD MORE,5
Prashanth r,"Certified Buyer, Chittoor District",11 months ago,Awesome picturesREAD MORE,5
